LoanStatus,BorrowerAPR,ProsperRating,LoanOriginalAmount,Term,IsBorrowerHomeowner,EmploymentStatus,EmploymentStatusDuration,DebtToIncomeRatio,IncomeRange
PastDue,0.17969000000000002,B,4000,36,False,Employed,1.0,0.18,$25-50k
Defaulted,0.35796999999999995,HR,4000,36,True,Other,11.0,0.49,$50-75k
Defaulted,0.28031999999999996,D,2000,36,False,Employed,1.0,0.39,$25-50k
Completed,0.30748000000000003,E,4000,60,False,Employed,3.0,0.11,$25-50k
Completed,0.11295999999999999,A,4000,36,True,Employed,1.0,0.26,$75-100k
Completed,0.12782000000000002,A,10000,36,False,Employed,4.0,0.11,$25-50k
Completed,0.08191,AA,16000,36,False,Employed,1.0,0.05,>$100k
Defaulted,0.29394000000000003,D,2000,36,True,Employed,13.0,0.15,>$100k
Completed,0.35843,E,3000,12,False,Employed,6.0,0.28,$50-75k
Completed,0.2951,D,4500,36,False,Employed,3.0,0.1,>$100k
Defaulted,0.35643,E,2500,36,True,Employed,18.0,0.21,$50-75k
Defaulted,0.32538,E,4000,36,False,Employed,6.0,0.26,$50-75k
Completed,0.13109,B,5600,36,True,Employed,2.0,0.18,$75-100k
PastDue,0.33286,E,4000,36,False,Employed,4.0,0.12,$50-75k
Defaulted,0.33553,E,4000,36,False,Employed,10.0,0.35,$25-50k
Completed,0.33973000000000003,E,4000,36,True,Employed,11.0,0.4,$25-50k
Completed,0.35643,HR,4000,36,True,Employed,1.0,0.23,$75-100k
Completed,0.35858,E,3500,36,False,Employed,3.0,0.3,$25-50k
Defaulted,0.27462,C,7000,60,True,Employed,14.0,0.43,$50-75k
Defaulted,0.35356,HR,4000,36,False,Not employed,1.0,,Not employed
Completed,0.15529,A,10000,36,True,Employed,8.0,0.16,>$100k
Defaulted,0.26681,D,15000,36,True,Self-employed,3.0,,$50-75k
Defaulted,0.30532,D,2000,36,False,Employed,1.0,,$25-50k
Defaulted,0.35796999999999995,HR,4000,36,False,Employed,7.0,0.54,$25-50k
Completed,0.14476,C,2000,36,True,Employed,24.0,0.18,$50-75k
Completed,0.34631,HR,3000,36,True,Employed,2.0,0.29,$50-75k
Defaulted,0.35796999999999995,HR,4000,36,True,Employed,5.0,0.45,$25-50k
Completed,0.24754,D,10000,60,True,Employed,5.0,0.37,$50-75k
Defaulted,0.33973000000000003,E,3000,36,True,Employed,11.0,0.35,$25-50k
PastDue,0.33973000000000003,E,2500,36,False,Other,10.0,0.41,$0-25k
Completed,0.12197999999999999,A,5000,36,False,Employed,2.0,0.04,$50-75k
Completed,0.09191,AA,2200,36,False,Employed,22.0,0.09,$50-75k
Completed,0.20705,B,15000,60,False,Employed,3.0,0.17,$75-100k
Defaulted,0.35796999999999995,HR,4000,36,True,Employed,5.0,0.2,$25-50k
Completed,0.23808,C,3000,36,False,Employed,3.0,0.05,$25-50k
Completed,0.09643,AA,9000,36,True,Employed,17.0,0.17,$50-75k
Completed,0.28851,D,10000,36,True,Not employed,1.0,,Not employed
Completed,0.11295999999999999,A,6500,36,True,Employed,11.0,0.29,$50-75k
Defaulted,0.34731,E,5500,36,True,Employed,8.0,0.13,$50-75k
Defaulted,0.27119,C,6000,36,True,Self-employed,1.0,,$25-50k
Defaulted,0.35796999999999995,HR,4000,36,False,Not employed,1.0,,Not employed
Completed,0.2951,D,3800,36,False,Employed,18.0,0.32,$50-75k
Completed,0.19108,B,3000,36,False,Employed,7.0,0.09,$25-50k
Completed,0.29265,D,3000,36,False,Employed,1.0,0.12,>$100k
Defaulted,0.35643,HR,4000,36,False,Employed,6.0,0.27,$50-75k
Defaulted,0.19236,B,10000,36,True,Self-employed,3.0,,$50-75k
Completed,0.21933000000000002,C,5500,36,False,Employed,1.0,0.21,>$100k
Completed,0.13799,A,7000,36,False,Employed,4.0,0.21,$25-50k
Completed,0.14453,A,8000,60,True,Employed,24.0,0.21,$25-50k
Completed,0.11765999999999999,A,2000,36,True,Employed,14.0,0.14,$50-75k
Completed,0.28851,D,2000,36,True,Employed,10.0,0.17,$25-50k
Completed,0.35858,E,7500,36,True,Employed,7.0,0.39,$50-75k
Completed,0.11893,A,10000,12,False,Employed,5.0,0.11,>$100k
Completed,0.22593000000000002,C,1500,36,False,Employed,19.0,0.37,$50-75k
Completed,0.31053000000000003,D,5000,36,False,Employed,3.0,0.2,$25-50k
Completed,0.26079,D,3000,36,False,Employed,4.0,,$25-50k
Defaulted,0.35131999999999997,E,6000,36,False,Employed,5.0,0.18,$25-50k
Defaulted,0.33553,E,2500,36,True,Employed,8.0,0.08,$25-50k
Completed,0.35796999999999995,HR,4000,36,False,Employed,4.0,0.29,$25-50k
Defaulted,0.35796999999999995,HR,4000,36,True,Employed,2.0,0.2,$25-50k
Completed,0.35643,E,7500,36,True,Employed,12.0,0.31,$50-75k
Completed,0.37401999999999996,HR,2500,36,False,Employed,6.0,0.37,$25-50k
Completed,0.35796999999999995,HR,4000,36,True,Employed,4.0,0.23,$75-100k
Completed,0.16055999999999998,A,4500,36,False,Employed,4.0,0.23,$25-50k
Defaulted,0.22455999999999998,C,7000,36,False,Employed,1.0,0.35,$50-75k
Completed,0.2951,D,10000,36,False,Employed,4.0,0.29,>$100k
Completed,0.32333,E,4000,36,False,Employed,1.0,0.21,$50-75k
Defaulted,0.26681,D,5025,36,False,Employed,4.0,0.42,$0-25k
Defaulted,0.28574,D,2500,36,False,Employed,2.0,0.1,$50-75k
Defaulted,0.30532,D,4000,36,False,Self-employed,2.0,,$25-50k
Completed,0.38486,E,1500,36,True,Employed,7.0,0.2,$25-50k
Completed,0.16055999999999998,A,15000,36,True,Employed,10.0,0.18,$50-75k
Completed,0.31053000000000003,D,7500,36,True,Employed,14.0,0.13,>$100k
